id,comments,sentiment,class
415,drop meteor plz takenrg takenrg,1,3
416,reverse climbing kappa,1,8
417,kappa,1,1
418,copythis copythis copythis copythis,0,1
419,pogchamp,1,1
420,thijshs is gunther mage still tier 1 is fav deck atm,0,3
421,savjzreno savjzreno savjzreno savjzreno,0,1
422,feels birthday man,1,7
423,kazakus priest is actually good ebven without reno thijshs,0,3
424,dad beats feels bad man mom beats feels bad man brother beats feels bad man sister beats feels bad man least feel safe thijs because cannot beat anyone feels good man,-1,3
425,thijshs what do think replacing medivh yogg,0,4
426,druid 2017 hahaa,1,8
427,thijs when is birthday,0,4
428,zeddyhs use meteor volcanic potion cut sorcerer apprentice,0,3
429,faced 5 jade druid roll today,0,3
430,happy,1,1
431,thijshs when playing discover mage vs paladin should frostbolt vilefin t2 hold warleader,0,3
432,morning thijs hows going,1,7
433,cmonbruh,0,1
434,dad beats feels bad man mom beats feels bad man brother beats feels bad man sister beats feels bad man least feel safe thijs because cannot beat anyone feels good man,-1,3
435,cut apprentice run ooze volcanic no meteor,0,3
436,feels good man,1,7
437,thijshs what do think replacing medivh yogg medivh seems slow when behind unnecessary when ahead,0,4
438,forsent hold line,0,3
439,feels bad man,-1,3
440,yeah would say jade druid is popular aggro right,0,3
441,forsent hold line,0,3
442,coolstorybob,1,1
443,run ooze polymorph no babbling books but not sure right,0,3
444,smorc smorc smorc smorc,0,1
445,coolstorybob do continue,1,3
446,forsent forsent forsent forsent,0,1
447,pogchamp,1,1
448,are winning thats all matters,0,3
449,nice name lul,1,8
450,lul,1,1
451,is gunther mage still tier 1 is fav deck atm thijshs,0,4
452,lul,1,1
453,zeddyhs made dozen games rank 9 dunno gonna work funny,0,3
454,totally butchered lul,1,8
455,kappa,1,1
456,is control mage,0,3
457,xd dat pronounciation tho cmon thijs,0,3
458,xd xd xd xd xddxd,1,1
459,thijshs try sytrax mage,0,3
460,monkas cannot pronounce name,-1,3
461,azure drake cmonbruh,0,8
462,forsenwut hold wut,0,8
463,trihard,1,1
464,why deck called gunther mage kappa,1,4
465,pogchamp,1,1
466,kappa,1,1
467,cmonbruh,0,1
468,kappa,1,1
469,replace thalnos wit millhouse helps miracle rogue kappa kappa kappa kappa,1,3
470,could pm link,0,3
471,named player made,0,3
472,conceding might better,0,3
473,4head,1,1
474,happy birthday streams are making starting revision morning much easier,1,7
475,kappa,1,1
476,next time might call valeera short hearthstone form keepo,0,3
477,jade druid is brokeback,-1,3
478,s1lverowl,0,1
479,shutthe fuck upforsenfags forsenomega,0,8
480,draw last forsenzu lul,1,5
481,draw last dansgame,-1,5
482,draw last lul,1,5
483,draw first wtf dansgame,-1,5
484,order forsenzu lul,1,8
485,subbing forsen 2017 lul,1,8
486,lul,1,1
487,nice 3 drop man,1,8
488,forsenemote 5 forsenemote2,0,1
489,4mana 7 7 pogchamp,1,8
490,activity current year lul,1,3
491,coolstorybob,1,1
492,meteor is must turn wouldny change fact wouldve dropped anyways,0,3
493,coolstorybob,1,1
494,what does future hold,0,4
495,18 armor kreygasm,1,8
496,c mon man gachigasm,1,8
497,coolstorybob,1,1
498,smorc,0,1
499,jade players brokeback brokeback brokeback,-1,1
500,is druid tempo warrior,0,4
501,trihard,1,1
502,trihard,1,1
503,trihard,1,1
504,cmonbruh,0,1
505,cannot shee forsent,0,8
506,forsenh,0,1
507,trihard,1,1
508,misplay notlikethis notlikethis notlikethis,-1,1
509,shouldve pinged hogger instead bloodmage,0,3
510,why not ping hogger,0,4
511,rekt,-1,1
512,h pogchamp g g e r,1,8
513,pogchamp explorer ungoro,1,8
514,cmonbruh,0,1
515,pogchamp pogchamp pogchamp,1,1
516,lol,1,1
517,cmonbruh,0,1
518,wutface,-1,1
519,kappa,1,1
520,double,0,1
521,lul why not ping,1,4
522,lul,1,1
523,how save geim,0,4
524,notlikethis notlikethis,-1,1
525,replaced deck lul,1,3
526,never get good yogg kappa,-1,3
527,brokeback,-1,1
528,amazscam,-1,1
529,oh shoulder gachigasm,1,8
530,residentsleeper,-1,1
531,babyrage,-1,1
532,lul,1,1
533,kappa,1,1
534,babyrage,-1,1
535,yogg lul,1,7
536,30 armor forsenomega,0,8
537,druid 30 armor lul,1,8
538,30 armor duid,0,8
539,doesnt have jades tho jebaited,1,3
540,4head,1,1
541,no jades least,0,3
542,control druid lul,1,3
543,forsenomega clap forsenomega clap forsenomega clap,0,1
544,no jades feels good man,1,3
545,pogchamp,1,1
546,blessrng give good yogg,1,3
547,lmao hope druid likes disciver,1,3
548,snipe,-1,1
549,do yog spells count toward yog spells,0,4
550,can discover even jades kripp lul,1,3
551,did druid play justicar,0,4
552,reminds stupid c thun warrior lul,1,3
553,jade druid can fatique feels good man,1,3
554,kevnhi kevnhi kevnhi,0,1
555,babyrage vs blessrng,-1,8
556,brokeback,-1,1
557,smorc,0,1
558,smorc,0,1
559,bounce back 10 armor,0,3
560,why not doom feels bad man,-1,4
561,smorc,0,1
562,oskomodo,0,1
563,oskomodo,0,1
564,draw last forsen lul,1,5
565,curselit trihard,1,1
566,yolo good game lul,1,3
567,kill yogg wtf notlikethis,-1,3
568,ssssss,0,1
569,monkas,0,1
570,draw last lul,1,5
571,could ping twice honker never value lul,1,3
572,order oskomodo oskomodo oskomodo,0,1
573,lul,1,1
574,blessrng please yogg,1,3
575,lul,1,1
576,lul,1,1
577,no mana play,0,3
578,wtf use hogger,-1,3
579,lul,1,1
580,lul,1,1
581,can discover 3th yogg kappa,1,3
582,brann 20 armor lul,1,8
583,spells yogg lul,1,3
584,lul all count spells,1,3
585,kevnhi heey thijs thijshello thijshs,1,6
586,pogchamp,1,1
587,next yogg huge af spells plus,0,3
588,lul,1,1
589,miracle,1,1
590,69 spells yogg brokeback,-1,3
591,great feels good man,1,3
592,smorc,0,1
593,yogg f cked,0,3
594,c thun warrior still works lul,1,3
595,yogg is gonna insane feels good man,1,3
596,infinite spell yogg pogchamp,1,3
597,thijshs do drunk stream bday tomorrow,0,3
598,well best case kills druid kappa,1,3
599,yogg sheep self,0,3
600,smorc,0,1
601,no jades tho,0,3
602,smorc,0,1
603,im ready monkas,0,8
604,biggest yogg ever pogchamp,1,3
605,notlikethis plz do not,-1,8
606,30 armor incoming,0,3
607,thijsnlt,1,1
608,monkas,0,1
609,not control killer right lul,1,8
610,smorc lets go,0,8
611,lul,1,1
612,notlikethis,-1,1
613,smorc best play smorc,1,1
614,yogg flare kappa,1,3
615,thijsnlt,1,1
616,smorc smorc,0,1
617,double pyrosphere druid face,0,3
618,no balls yogg dansgame,-1,3
619,random spells thijsnlt,0,3
620,monkas,0,1
621,takenrg takenrg takenrg takenrg takenrg takenrg,1,1
622,mirror copy yogg lul,1,3
623,discover : sleep fishes x 10,0,3
624,mana bind steal journey ungoro ;d,1,3
625,mirror copy yogg vanish,0,3
626,face,0,1
627,meteor face smorc,0,8
628,wutface,-1,1
629,mana bind explore card,0,3
630,useless spell smorc,0,3
631,xxxsk xxxro,0,1
632,xxxnk xxxed,0,1
633,wutface,-1,1
634,failfish,-1,1
635,is burning yogg,0,3
636,forsenh,0,1
637,wutface,-1,1
638,mirror free yogg,0,3
639,can hero baby bibletuhmp,-1,8
640,ungoro meta is good guys,1,3
641,trumpw clap trumpw clap trumpw clap,0,1
642,good game ull get 1 1 shade,1,3
643,pogchamp,1,1
644,yogg gonna execute druid man,0,3
645,lul,1,1
646,lul,1,1
647,wutface,-1,1
648,choose path 4head,1,8
649,residentsleeper,-1,1
650,2 damage forsenomega,0,8
651,happy birthday thijshs,1,7
652,feels bad man frog is dead feels bad man,-1,3
653,pogchamp,1,1
654,random cards monkas,0,8
655,what decks record,0,4
656,0 4 inc carlsmile,0,8
657,every turn is raven idol turn monkas,0,3
658,happy,1,1
659,happy birthday thijs,1,7
660,im ready yogg,0,3
661,lul,1,1
662,druid lost jades lol,1,3
663,lul,1,1
664,druid 50 armor game lul,1,3
665,residentsleeper,-1,1
666,babyrage,-1,1
667,armor residentsleeper residentsleeper,-1,1
668,nice armor babyrage,-1,3
669,lul,1,1
670,lul,1,1
671,lul,1,1
672,babyrage,-1,1
673,cannot take randomness anymore monkas,0,3
674,trihard,1,1
675,better play yogg,0,3
676,pogchamp,1,1
677,bear form druid forsensleeper,0,3
678,trihard,1,1
679,yhis is fun tavern brawl,0,3
680,cmonbruh,0,1
681,want see yogg,0,3
682,pogchamp,1,1
683,smorc,0,1
684,lul,1,1
685,yogg flare,0,3
686,nerf koreans babyrage,-1,8
687,pogchamp,1,1
688,trihard raycis af,1,8
689,is stupid plays yogg,-1,4
690,4head,1,1
691,playing fatigue game jebaited,1,3
692,guardian druids still op seems residentsleeper,-1,3
693,0 4 police are thijshs datsheffy,0,8
694,smorc,0,1
695,no way win,0,3
696,play another fun deck thijshs,0,3
697,lul,1,1
698,0 5 inc,0,8
699,lul,1,1
700,lul,1,1
701,feels like taver brawl 4head,1,3
702,lul,1,1
703,lul,1,1
704,play yogg when risk,0,3
705,lul,1,1
706,lol,1,1
707,over kevin forsene,0,8
708,lul,1,1
709,is new brawl pogchamp,1,3
710,guy no balls,-1,8
711,forsene,0,1
712,is ovah forsene,0,8
713,concede cannot take anymore wutface,-1,3
714,lul,1,1
715,druid wo not play yogg,0,3
716,over anakin forsene,0,8
717,no balls lul,1,3
718,thijsnlt,1,1
719,where r cards,0,4
720,trihard over boi,1,8
721,why would want yogg can play is not,0,4
722,armor druid vs fatigue mage pogchamp,1,3
723,tirty spells dansgame,-1,3
724,last night was walking park when noticed thijs was getting beat 2 immigrants no racist but could not help but feel sympathy went help was nothing could do 3 us smile face,0,3
725,4head 4head,1,1
726,many choose ur path,0,8
727,lidl stream forsene,0,8
728,lul,1,1
729,long board controll wont play yogg obviously,0,3
730,druid doesnt play yog trihard,1,3
731,not even good many spells thijsnlt,0,3
732,no yogg no balls dansgame,-1,3
733,lul,1,1
734,afraid yogg monkas,-1,3
735,does not want fun wants win dansgame,-1,3
736,lul,1,1
737,trihard druid wants legend 1st time babyrage,-1,3
738,feels bad man,-1,3
739,hes not gonna play yogg,0,3
740,lul,1,1
741,longer doesnt play chance killing thats problem,0,3
742,man yogg played,0,3
743,forsenzu lul v lost,1,8
744,pogchamp,1,1
745,hes scared play yogg,-1,3
746,asia full tryhards,1,8
747,lul koreans lul koreans lul koreans,1,1
748,like 100 hp notlikethis,-1,8
749,no balls swiftrage,-1,3
750,41 hp lul,1,8
751,portal face kappa,1,8
752,yogg flare is gg,0,3
753,losing randomly created deck lul,1,3
754,yogg time boys kappa,1,3
755,cw druid pogchamp,1,3
756,kappa,1,1
757,how hell can druid get 80 armor over course game dansgame,-1,4
758,control warriror is real pogchamp,1,3
759,lul,1,1
760,ffs,0,1
761,yeah hes not going play yogg wants win,0,3
762,play yogg babyrage,-1,3
763,lul,1,1
764,guy is wow,1,8
765,play yogg no balls,-1,3
766,everybody add chinese,0,8
767,biggest yogg ever,1,3
768,run risk winning game,0,3
769,lul lul,1,1
770,hes scared yogg,-1,3
771,lul,1,1
772,concede,-1,8
773,getting rekt is not fun elegiggle,1,3
774,self,0,1
775,yogg kills overdraw,0,3
776,how many spells,0,4
777,how many paths chosen monkas,0,4
778,lol,1,1
779,first spell purify yogg forsenomega,0,3
780,druid is lame residentsleeper,-1,3
781,opponents not memer feels bad man,-1,3
782,should get jaraxxus kebab courrier opieop,0,3
783,yogg feels good man,1,3
784,play yogg chinese guy hotpokket,0,3
785,praise yogg fatigue druid,0,3
786,lul,1,1
787,lul,1,1
788,lul,1,1
789,lul,1,1
790,lul lul lul,1,1
791,lul,1,1
792,yog 4x pyroface,0,8
793,lul,1,1
794,yogg 4x sprint,0,3
795,wtf smile face d,-1,8
796,lul lul,1,1
797,lul,1,1
798,yogg yogg yogg yogg,0,8
799,4head,1,1
800,lul,1,1
801,lul,1,1
802,lul,1,1
803,hes going yogg mill,0,3
804,lul,1,1
805,lul,1,1
806,lul,1,1
807,lul,1,1
808,lul,1,1
809,elegiggle,1,1
810,lul,1,1
811,lul,1,1
812,lul,1,1
813,lul,1,1
814,lul,1,1
815,lul,1,1
816,lul,1,1
817,lul,1,1
818,pogchamp,1,1
819,lul lul,1,1
820,thijs understand is sniping,0,3
821,6 drop tho,0,8
822,what nice guy,1,4
823,40 spell yogg first spell twisting nether kappa,1,3
824,: tf :,0,8
825,lul,1,1
826,thats why doesnt play yogg,0,3
827,lul,1,1
828,lul omega lul forsenomega,1,1
829,thijs is sniping,-1,3
830,won t play yogg hotpokket,0,8
831,bad never yogg babyrage,-1,3
832,come do pogchamp,1,3
833,discover jade idol keeps forever kappa,1,3
834,no is not biblethump,-1,8
835,ice met hahaa,1,8
836,doesnt have lol,1,3
837,win smorc,0,1
838,no balls lul,1,3
839,why would lul,1,4
840,come play yogg swiftrage swiftrage swiftrage,-1,1
841,is going yogg,0,3
842,lul,1,1
843,kappa,1,1
844,exactly druid not fun babyrage,-1,3
845,notlikethis,-1,1
846,hes not gonna do pogchamp,1,3
847,40 spell yogg first spell twisting nether kappa,1,3
848,lul,1,1
849,lul,1,1
850,lul,1,1
851,does have yogg got spirit echoed hand,0,3
852,yogg busted,0,3
853,lul,1,1
854,yogg flare,0,3
855,lul,1,1
856,inb4 mill druid,0,3
857,lul lul,1,1
858,wo not even play,0,3
859,yogg flare,0,3
860,lul,1,1
861,dansgame,-1,1
862,lul,1,1
863,lul,1,1
864,no balls no yogg lul,1,3
865,no yogg lmao,1,3
866,lul,1,1
867,feels bad man,-1,3
868,lul,1,1
869,80 spells blessrng,1,8
870,wutface,-1,1
871,lul,1,1
872,l l readdy sir,0,8
873,lul,1,1
874,yogg sprint,0,3
875,lul,1,1
876,lul,1,1
877,lul,1,1
878,lul,1,1
879,is scared biblethump,-1,8
880,lul,1,1
881,no balls lul,1,3
882,opp no honor,0,8
883,yogg sprint x 4,0,3
884,pogchamp,1,1
885,pogchamp,1,1
886,cmon man gachigasm,1,8
887,babyrage wont play yogg let win,-1,3
888,lul,1,1
889,lul,1,1
890,pogchamp,1,1
891,pogchamp,1,1
892,pogchamp,1,1
893,lul,1,1
894,pogchamp,1,1
895,pogchamp,1,1
896,pogchamp,1,1
897,pogchamp,1,1
898,pogchamp,1,1
899,lul,1,1
900,pogchamp,1,1
901,pogchamp,1,1
902,pogchamp,1,1
903,pogchamp,1,1
904,pogchamp pogchamp pogchamp pogchamp pogchamp pogchamp,1,1
905,pogchamp,1,1
906,pogchamp,1,1
907,pogchamp,1,1
908,lul,1,1
909,pogchamp,1,1
910,pogchamp,1,1
911,pogchamp,1,1
912,pogchamp,1,1
913,pogchamp,1,1
914,pogchamp,1,1
915,pogchamp,1,1
916,pogchamp,1,1
917,pogchamp,1,1
918,pogchamp,1,1
919,wanna kappa good game kappa,1,3
920,lul,1,1
921,pogchamp,1,1
922,monkas,0,1
923,pogchamp,1,1
924,pogchamp,1,1
925,pogchamp,1,1
926,lul,1,1
927,lul,1,1
